Model,Memory Size,Battery Health,Price,Link
iphone 14 plus,128gb,Battery health not found,720 €,https://mobil.bazos.sk/inzerat/160317399/apple-iphone-14-plus-128gb-tmavo-modry-dobry-stav.php
iphone 13 pro,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160316090/iphone-13-pro-modry-kryt.php
iphone 14,128gb,Battery health not found,650 €,https://mobil.bazos.sk/inzerat/160315503/apple-iphone-14white-128gb.php
Model not found,128gb,81%,150 €,https://mobil.bazos.sk/inzerat/160315105/iphone-xr-128gb.php
iphone 12 mini,128gb,100%,350 €,https://mobil.bazos.sk/inzerat/160314918/apple-iphone-12-mini-128gb-biely.php
Model not found,64gb,81%,145 €,https://mobil.bazos.sk/inzerat/160313658/predam-iphone-xs-64gb.php
iphone 12 mini,Memory size not found,Battery health not found,250 €,https://mobil.bazos.sk/inzerat/160311506/kupim-iphone-12-mini.php
Model not found,Memory size not found,Battery health not found,85 €,https://oblecenie.bazos.sk/inzerat/160310955/karl-lagerfeld-crossbody.php
iphone 12,64 gb,Battery health not found,440 €,https://mobil.bazos.sk/inzerat/160310317/apple-iphone-12-64-gb.php
iphone 15,128 gb,Battery health not found,Dohodou,https://mobil.bazos.sk/inzerat/160308000/iphone-15-128-gb.php
Model not found,Memory size not found,Battery health not found,4 €,https://mobil.bazos.sk/inzerat/160306290/apple-lightning-usb-kabel-1m.php
iphone 14 pro max,128gb,100%,650 €,https://mobil.bazos.sk/inzerat/160305327/apple-iphone-14-pro-max-128gb.php
iphone 14 plus,128gb,100%,650 €,https://mobil.bazos.sk/inzerat/160301514/iphone-14-plus-128gb-purple.php
iphone 12 mini,128 gb,Battery health not found,400 €,https://mobil.bazos.sk/inzerat/160301352/predam-iphone-12-mini.php
Model not found,32gb,Battery health not found,50 €,https://mobil.bazos.sk/inzerat/160301186/iphone-se-32gb.php
iphone 13 pro max,128 gb,89%,615 €,https://mobil.bazos.sk/inzerat/160296098/iphone-13-pro-max-128-gb-silver.php
iphone 12 pro,256gb,87%,450 €,https://mobil.bazos.sk/inzerat/160291243/iphone-12-256gb-bielej-farby.php
iphone 12 mini,64gb,100%,505 €,https://mobil.bazos.sk/inzerat/160290624/apple-iphone-11-pro-64gb-zaruka-12-mesiacov.php
iphone 13 mini,128gb,Battery health not found,425 €,https://mobil.bazos.sk/inzerat/160281900/iphone-13-mini.php
iphone 11,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160280321/novy-kryt-iphone-11.php
Model not found,256gb,82%,245 €,https://mobil.bazos.sk/inzerat/160279004/iphone-xs-max-gold-256gb.php
Model not found,256gb,Battery health not found,590 €,https://mobil.bazos.sk/inzerat/160278260/samsung-s23-256gb.php
iphone 14 plus,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160275180/iphone-14-plus-fialovy-kryt-sklo.php
iphone 13,Memory size not found,Battery health not found,3 €,https://mobil.bazos.sk/inzerat/160273510/iphone-13-kryt-pouzivany.php
Model not found,Memory size not found,100%,40 €,https://oblecenie.bazos.sk/inzerat/160273066/novekvalitne-panske-dzinsy-diesel-velkost-3332.php
Model not found,64gb,80%,140 €,https://mobil.bazos.sk/inzerat/160272926/iphone-se-2020.php
Model not found,Memory size not found,100%,40 €,https://oblecenie.bazos.sk/inzerat/160272840/nove-panskekvalitne-dzinsy-tommy-hilfiger-4034.php
Model not found,64gb,85%,150 €,https://mobil.bazos.sk/inzerat/160272132/iphone-se-2020-64gb-black.php
iphone 11 pro,64gb,81%,350 €,https://mobil.bazos.sk/inzerat/160271979/iphone-11-pro-64gb-space-grey.php
iphone 11,Memory size not found,Battery health not found,30 €,https://mobil.bazos.sk/inzerat/160270160/original-cierny-lcd-displej-na-apple-iphone-11.php
iphone 8,64gb,84%,130 €,https://mobil.bazos.sk/inzerat/159592760/predam-iphone-8-black-64gb-s-nabijackou.php
Model not found,64 gb,Battery health not found,150 €,https://mobil.bazos.sk/inzerat/160267614/iphone-x-64-gb.php
Model not found,Memory size not found,Battery health not found,90 €,https://elektro.bazos.sk/inzerat/160266955/radiator-kupelnovy-rebrikovy-180-cm.php
iphone 15 promax,Memory size not found,35%,1 €,https://mobil.bazos.sk/inzerat/160262492/iphone15promax.php
Model not found,64gb,87%,150 €,https://mobil.bazos.sk/inzerat/160262271/iphone-se-2020-64gb.php
iphone 13 mini,256 gb,100%,650 €,https://mobil.bazos.sk/inzerat/160261254/iphone-13-mini-256-gb-uplne-novy-bohate-prislusenstv.php
iphone 3,Memory size not found,Battery health not found,V texte,https://mobil.bazos.sk/inzerat/160259608/nabijacia-stanica-iphone-3-v-jednom.php
Model not found,64gb,Battery health not found,Ponúknite,https://mobil.bazos.sk/inzerat/160256869/iphone-xs.php
iphone 11,64gb,77%,230 €,https://mobil.bazos.sk/inzerat/160252201/predam-iphone-11.php
Model not found,Memory size not found,100%,V texte,https://sluzby.bazos.sk/inzerat/159412048/phonecare-nitra-servis-telefonov.php
iphone 12,64gb,87%,350 €,https://mobil.bazos.sk/inzerat/160250368/iphone-12-64gb-blue.php
iphone 13 pro,256gb,85%,630 €,https://mobil.bazos.sk/inzerat/160238436/iphone-13pro-256gb.php
iphone 6 plus,Memory size not found,100%,5 €,https://mobil.bazos.sk/inzerat/160236296/ztylus-metal-krytrevolver-pre-apple-iphone-6-plus6s-plus.php
iphone 34,Memory size not found,Battery health not found,34 €,https://sport.bazos.sk/inzerat/160235732/blulink-bt-modul-na-gate-aster.php
iphone 7,Memory size not found,Battery health not found,10 €,https://mobil.bazos.sk/inzerat/160232157/ponukam-kryty-na-iphone-78se2-se3.php
Model not found,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160231810/ochranne-temperovane-sklo-na-apple-iphone.php
iphone 13,128gb,100%,500 €,https://mobil.bazos.sk/inzerat/160229787/iphone-13-midnight.php
iphone 7,32gb,77%,100 €,https://mobil.bazos.sk/inzerat/160229460/iphone-7-32gb.php
Model not found,128gb,Battery health not found,150 €,https://mobil.bazos.sk/inzerat/160229029/samsung-galaxy-s-10-plus-128gb-dual-sim.php
Model not found,64gb,75%,110 €,https://mobil.bazos.sk/inzerat/160227992/iphone-se-2020.php
Model not found,Memory size not found,81%,125 €,https://mobil.bazos.sk/inzerat/160227031/predam-iphone-se2020128gb.php
iphone 14 pro max,512gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160217372/huawei-mate-xs-2.php
iphone 5,Memory size not found,Battery health not found,20 €,https://mobil.bazos.sk/inzerat/160216931/iphone-5s.php
Model not found,64gb,Battery health not found,120 €,https://mobil.bazos.sk/inzerat/160215257/iphone-xr-biely-64gb.php
iphone 8,Memory size not found,Battery health not found,3 €,https://mobil.bazos.sk/inzerat/160208760/ochranne-sklo-na-iphone-8.php
iphone 14,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160203101/iphone-14-modry-kryt-sklo.php
iphone 14 plus,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160203049/iphone-14-plus-cerveny-kryt-sklo.php
iphone 13 mini,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160198664/kryt-uag-a-spigen.php
Model not found,64gb,Battery health not found,240 €,https://mobil.bazos.sk/inzerat/160196195/iphone-xs-64gb.php
iphone 11,256gb,84%,299 €,https://mobil.bazos.sk/inzerat/160195923/iphone-11-256gb-white.php
iphone 12 pro,128gb,Battery health not found,520 €,https://mobil.bazos.sk/inzerat/160195010/iphone-12pro-128gb.php
Model not found,Memory size not found,Battery health not found,100 €,https://mobil.bazos.sk/inzerat/160193061/predam-vymenim.php
iphone 6,16gb,87%,60 €,https://mobil.bazos.sk/inzerat/160190483/iphone-6.php
iphone 15,128gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160188576/iphone-15-128gb-zeleny.php
iphone 13 mini,512 gb,82%,649 €,https://mobil.bazos.sk/inzerat/159915933/iphone-13-mini-512-gb-starlight.php
Model not found,Memory size not found,Battery health not found,800 €,https://sport.bazos.sk/inzerat/160186610/hodinky.php
iphone 12,64gb,80%,290 €,https://mobil.bazos.sk/inzerat/159911043/iphone-12-64gb-black.php
iphone 12 pro,128gb,Battery health not found,430 €,https://mobil.bazos.sk/inzerat/159907891/apple-iphone-12-pro-128gb-graphite.php
Model not found,64gb,Battery health not found,170 €,https://mobil.bazos.sk/inzerat/160176718/iphone-xs.php
Model not found,64gb,83%,120 €,https://mobil.bazos.sk/inzerat/160174765/predam-iphone-se-2020-black-64gb.php
iphone 12 pro,128gb,88%,390 €,https://mobil.bazos.sk/inzerat/160173305/predam-apple-iphone-12-pro-128gb-pacific-blue.php
iphone 6,32gb,Battery health not found,70 €,https://mobil.bazos.sk/inzerat/160172863/iphone-6s.php
Model not found,Memory size not found,Battery health not found,V texte,https://mobil.bazos.sk/inzerat/160171853/displeje.php
iphone 12 mini,Memory size not found,Battery health not found,3 €,https://mobil.bazos.sk/inzerat/160171547/kryt-pre-iphone-12-mini.php
iphone 13 mini,128gb,100%,550 €,https://mobil.bazos.sk/inzerat/160169634/apple-iphone-13mini.php
Model not found,Memory size not found,Battery health not found,10 €,https://mobil.bazos.sk/inzerat/160168516/xiaomi-mi-band-3-komplet-balenie.php
iphone 6,Memory size not found,Battery health not found,Ponúknite,https://mobil.bazos.sk/inzerat/160166994/apple-iphone-6s-plus.php
iphone 14 plus,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160166907/iphone-14-plus-biely-kryt-sklo.php
Model not found,Memory size not found,100%,25 €,https://oblecenie.bazos.sk/inzerat/160166867/panska-mancestrova-kosela-rifle-velkost-l.php
